"取引ID","取引日時","取引区分 （1：通常、2：入金、3：出金、4:：預かり金、 5：預かり金返金、6：ポイント加算、7：ポイント減算、8：ポイント失効、11：チップ、13：マイル加算、14：マイル減算、 16：領収証発行）","取消区分 (0:通常、1：取消)","単価値引き前小計","単価値引き小計","小計","小計値引き","合計","預かり金","預かり金現金","預かり金クレジット","釣銭","商品名","カラー","会員コード","サイズ","商品ID","商品コード","数量","会員ID","店舗ID","客層ID","端末ID","支払方法ID1","支払方法名1"
"271","2026/06/28 15:10:55","1","0","796320","0","796320","0","796320","796320","0","0","0","ANGEL マジェスティサービング.015/100m ブラック","ブラック","90000000000000000144","","18416","8400000000086","30","171","2","","1","1","請求書"
"271","2026/06/28 15:10:55","1","0","796320","0","796320","0","796320","796320","0","0","0","ANGEL DX-WPトーナメントクイバー RH M","M","90000000000000000144","RH","2467","5091000308024","20","171","2","","1","1","請求書"
"271","2026/06/28 15:10:55","1","0","796320","0","796320","0","796320","796320","0","0","0","ANGELトーナメントベルト M ","","90000000000000000144","M","2501","5191000313032","20","171","2","","1","1","請求書"
"271","2026/06/28 15:10:55","1","0","796320","0","796320","0","796320","796320","0","0","0","送料（海外直送）  ","","90000000000000000144","","2949","9900000000035","1","171","2","","1","1","請求書"
"270","2026/06/28 13:51:09","1","0","8800","0","8800","880","7920","7920","0","7920","0","FIVICS SAKER 1 タブ LH S","S","","LH","1526","3011000160080","1","","2","","3","",""
"269","2026/06/28 13:17:42","1","0","67230","6228","61002","0","61002","61002","0","61002","0","CARTEL クリアアローケース  ","","","","2028","6019000286004","1","","2","","3","",""
"269","2026/06/28 13:17:42","1","0","67230","6228","61002","0","61002","61002","0","61002","0","FIVICS TENPRO シャフト 900 1ダース","1ダース","","900","1739","6011000192095","1","","2","","3","",""
"269","2026/06/28 13:17:42","1","0","67230","6228","61002","0","61002","61002","0","61002","0","FIVICS TENPRO ステンレスポイント 3T 800～1200","800～1200","","3T","1811","6011000203036","2","","2","","3","",""
"269","2026/06/28 13:17:42","1","0","67230","6228","61002","0","61002","61002","0","61002","0","FIVICS TENPRO インサートピン 0line 600～1200","600～1200","","0line","1827","6011000214025","2","","2","","3","",""
"269","2026/06/28 13:17:42","1","0","67230","6228","61002","0","61002","61002","0","61002","0","FIVICS ピンノック(S) クリアパープル ","","","クリアパープル","2289","6111000287088","2","","2","","3","",""
"269","2026/06/28 13:17:42","1","0","67230","6228","61002","0","61002","61002","0","61002","0","RANGE-O-MATIC スピンウィングベイン 45mm RH パープル","パープル","","RH","2434","6117000302073","1","","2","","3","",""
"269","2026/06/28 13:17:42","1","0","67230","6228","61002","0","61002","61002","0","61002","0","FIVICS SAKER 1 タブ RH XS","XS","","RH","1522","3011000160042","1","","2","","3","",""
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS VXハンドル 25"" RH レッド","レッド","90000000000000000339","RH","14490","3700000000648","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS SAKER 1 タブ RH XS","XS","90000000000000000339","RH","1522","3011000160042","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS GOLDRO シャフト 1200 1ダース","1ダース","90000000000000000339","1200","1759","6011000194051","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS GOLDRO ステンレスポイント 120gr 800～1200","800～1200","90000000000000000339","120gr","1815","6011000205016","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS インノック イエロー ","","90000000000000000339","イエロー","5140","1500000000639","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","RANGE-O-MATIC スピンウィングベイン 45mm RH レッド","レッド","90000000000000000339","RH","2429","6117000302028","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","SHIBUYA DX プランジャー レッド ","","90000000000000000339","レッド","1491","2490000620038","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","SHIBUYA ULTIMA RC4 520 カーボンサイト RH レッド","レッド","90000000000000000339","RH ","12481","7000000000355","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","SHIBUYA アルティマ レスト レッド ","","90000000000000000339","レッド","1506","2790000154046","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","Beiter クリッカー ブラックブレード 0.25 6/32A","6/32A","90000000000000000339","0.25","1497","2315000152016","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS ACCENDO トーナメントクイバー レッド ","","90000000000000000339","レッド","2461","5011000306035","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS WIND チェストガード(RH) S ブラック","ブラック","90000000000000000339","S","1670","3311000183035","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","KOREA ARCHERY Jet6 アームガード ブラック ","ブラック","90000000000000000339","","2931","3323000635018","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS HYPER バックパック  ブラック ","","90000000000000000339","ブラック","2533","4011000329011","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","【2025NEW】FIVICS VELLATOR センタースタビライザー26インチブラック","ブラック","90000000000000000339","26インチ","12021","4300000000304","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","【2025NEW】FIVICS VELLATOR サイドロッド10インチブラック","ブラック","90000000000000000339","10インチ","12037","4300000000144","2","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS  アルミニウムエクステンダーロッド 3インチ ","","90000000000000000339","3インチ","1165","2011000103019","1","4124","2","","1","1","請求書"
"268","2026/06/28 13:10:02","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS XENIA V-バー 40° ","","90000000000000000339","40°","1400","2011000469009","1","4124","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS VXハンドル 25"" RH ブルー","ブルー","90000000000000000338","RH","14489","3700000000655","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS SAKER 1 タブ RH XS","XS","90000000000000000338","RH","1522","3011000160042","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS GOLDRO シャフト 1000 1ダース","1ダース","90000000000000000338","1000","1757","6011000194037","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS GOLDRO ステンレスポイント 120gr 800～1200","800～1200","90000000000000000338","120gr","1815","6011000205016","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS インノック ホワイト ","","90000000000000000338","ホワイト","5138","1500000000653","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","RANGE-O-MATIC スピンウィングベイン 45mm RH ホワイト","ホワイト","90000000000000000338","RH","2428","6117000302011","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","SHIBUYA DX プランジャー ブルー ","","90000000000000000338","ブルー","1492","2490000620045","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","SHIBUYA ULTIMA RC4 520 カーボンサイト RH レッド","レッド","90000000000000000338","RH ","12481","7000000000355","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","SHIBUYA アルティマ レスト ブルー ","","90000000000000000338","ブルー","1505","2790000154039","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","Beiter クリッカー ブラックブレード 0.25 6/32A","6/32A","90000000000000000338","0.25","1497","2315000152016","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS ACCENDO トーナメントクイバー レッド ","","90000000000000000338","レッド","2461","5011000306035","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS WIND チェストガード(RH) S ブラック","ブラック","90000000000000000338","S","1670","3311000183035","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","KOREA ARCHERY Jet6 アームガード ブラック ","ブラック","90000000000000000338","","2931","3323000635018","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS HYPER バックパック  ブラック ","","90000000000000000338","ブラック","2533","4011000329011","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","【2025NEW】FIVICS VELLATOR センタースタビライザー26インチブラック","ブラック","90000000000000000338","26インチ","12021","4300000000304","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","【2025NEW】FIVICS VELLATOR サイドロッド10インチブラック","ブラック","90000000000000000338","10インチ","12037","4300000000144","2","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS  アルミニウムエクステンダーロッド 4インチ ","","90000000000000000338","4インチ","1166","2011000103026","1","4123","2","","1","1","請求書"
"267","2026/06/28 13:01:00","1","0","244640","0","244640","19205","225435","225435","0","0","0","FIVICS XENIA V-バー 40° ","","90000000000000000338","40°","1400","2011000469009","1","4123","2","","1","1","請求書"
"266","2026/06/28 12:30:37","1","0","23100","0","23100","23100","0","0","0","0","0","FIVICS SKADI-BX サイドロッド 11インチ ","","90000000000000000228","11インチ","1390","2011000465025","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS GOLDRO シャフト 900 1ダース","1ダース","90000000000000000228","900","1756","6011000194020","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS TITAN NXTハンドル RH レッド","レッド","90000000000000000228","RH","3046","1011000005055","2","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS FIVE-X シャフト 850 1ダース","1ダース","90000000000000000228","850","1715","6011000190114","3","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS TENPRO シャフト 700 1ダース","1ダース","90000000000000000228","700","1737","6011000192071","7","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS TENPRO シャフト 800 1ダース","1ダース","90000000000000000228","800","1738","6011000192088","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS TENPRO シャフト 900 1ダース","1ダース","90000000000000000228","900","1739","6011000192095","2","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS TENPRO シャフト 1100 1ダース","1ダース","90000000000000000228","1100","1741","6011000192118","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS GOLDRO シャフト 800 1ダース","1ダース","90000000000000000228","800","1755","6011000194013","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS GOLDRO シャフト 1200 1ダース","1ダース","90000000000000000228","1200","1759","6011000194051","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS GOLDRO シャフト 1300 1ダース","1ダース","90000000000000000228","1300","1760","6011000194068","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS TENPRO ステンレスポイント 3T 800～1200","800～1200","90000000000000000228","3T","1811","6011000203036","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS ピンノック(S) オブリックイエロー ","","90000000000000000228","オブリックイエロー","2283","6111000287026","2","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS WT ウエイト（新） ヘッド ","","90000000000000000228","ヘッド","4810","9600100010711","3","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS V-UP アッパーロッド  ","","90000000000000000228","","14648","5000000000098","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS SAKER 1 ブラス タブ RH M","M","90000000000000000228","RH","1548","3011000164026","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS AUTOMATIC ボウスタンド ロング ","","90000000000000000228","ロング","2515","4111000324006","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS LOK V-バー 40° ","","90000000000000000228","40°","1384","2011000108021","8","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS SAKER 1 タブ RH XS","XS","90000000000000000228","RH","1522","3011000160042","8","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS インノック ブルー ","","90000000000000000228","ブルー","5137","1500000000660","4","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS Gｰウエイト 1オンス ","","90000000000000000228","1オンス","14649","6010000000164","11","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS スコーピオン サイト ブラック ","","90000000000000000228","ブラック","1436","2211000137018","1","87","2","","1","1","請求書"
"265","2026/06/28 12:25:40","1","0","1408660","0","1408660","1408660","0","0","0","0","0","FIVICS SKADI-BX センタースタビライザー 26インチ ","","90000000000000000228","26インチ","1386","2011000464011","3","87","2","","1","1","請求書"
